f1,f2,f3,f4,f5,f6,f7,objectId,codigo_mun,EXCEL_ID,women
25653,San Cayetano,5351,743,4608,2874,2477,96,25653,50272c5e-855e-4046-af07-1e7fe3b7be7c,-2477
25662,San Juan de Río Seco,9668,2931,6737,4779,4889,98,25662,c3c79180-ec7d-4292-ac85-b1781044d00d,-4889
25740,Sibaté,39817,26877,12940,20000,19817,101,25740,6dc33ba2-2266-4b12-975f-1d9d0de94510,-19817
25745,Simijaca,13516,7583,5933,6629,6887,103,25745,5f39b5b1-40a3-4188-b5e8-8962158828e2,-6887
25754,Soacha,533718,527644,6074,263515,270203,104,25754,f9cbe4a2-20e9-4c27-b82d-b4cd4e586105,-270203
25758,Sopó,27932,17988,9944,13863,14069,105,25758,1a29f3aa-4e3e-46a5-9c8d-7d15dea9e9fb,-14069
25779,Susa,12887,6614,6273,6541,6346,109,25779,6311c705-e1e6-4654-ae6f-b24a064b8679,-6346
25781,Sutatausa,5725,1811,3914,2994,2731,110,25781,6a8f3ef9-52e7-4aa2-8e36-badcec0080e9,-2731
25785,Tabio,28373,13873,14500,14240,14133,111,25785,4688c498-44ee-4ce1-88b6-3768ec34e7c8,-14133
25799,Tenjo,20070,9605,10465,10002,10068,114,25799,9b0abc13-aaca-4c2e-9848-d41b38ce0e4a,-10068
25805,Tibacuy,4822,527,4295,2308,2514,115,25805,f4224b65-285a-4d9c-8436-fc84b5555509,-2514
25807,Tibirita,2943,494,2449,1496,1447,116,25807,d5c79066-383d-48ff-8a4d-fa979e9a763f,-1447
25815,Tocaima,18601,11073,7528,9400,9201,117,25815,17619d04-a618-4823-bd8d-198c5bbb06eb,-9201
25200,Cogua,23214,7264,15950,11616,11598,118,25200,9e5ac847-031b-4cfc-84e6-88634242e53b,-11598
25769,Subachoque,16750,6293,10457,8557,8193,119,25769,52967955-2883-43ca-905d-3615029cef84,-8193
